,INM-CM4-8,INM-CM5-0,NorESM2-MM,NorESM2-LM,MIROC6,GFDL-ESM4,MIROC-ES2L,GISS-E2-1-G,FGOALS-g3,MPI-ESM1-2-HR,BCC-CSM2-MR,MPI-ESM1-2-LR,MRI-ESM2-0,CMCC-ESM2,ACCESS-ESM1-5,EC-Earth3,ACCESS-CM2,IPSL-CM6A-LR,CNRM-ESM2-1,CNRM-CM6-1,KACE-1-0-G
2047-12-31,295.570556640625,294.70135498046875,294.8887939453125,296.1400451660156,296.8604,295.5553894042969,297.20325,296.3194274902344,296.05908203125,295.22522,296.0182189941406,295.3379,295.66287,296.8663635253906,296.88235,295.38397,296.08542,295.69147,297.21274,296.48743,296.9828870549548
2048-12-31,295.60684605428617,295.3939533390411,295.65520972683004,296.77114625695634,296.18445,295.34630126953124,297.00082,296.9414827529698,295.64664833382386,297.23602,296.36051828044737,296.13428,296.73987,296.2607142618258,296.10565,296.98236,296.35468,297.2364,295.06204,296.77353,296.2037152048605
2049-12-31,293.9295654296875,296.05908203125,296.2035217285156,296.90838623046875,295.7822,296.79345703125,296.40405,296.114990234375,294.6631164550781,297.10284,297.157958984375,295.08737,295.33014,295.5833740234375,296.61865,295.44644,296.0263,296.18317,296.1566,295.90308,297.491038999078
2050-12-31,296.5793151855469,295.7868347167969,295.83038330078125,296.6072692871094,296.16208,295.66156005859375,297.4781,296.1130676269531,295.8095397949219,295.71317,296.0670471191406,295.22165,295.5292,296.7339172363281,296.20483,295.33044,297.96075,296.77933,296.36053,295.93683,296.6652275383805
2051-12-31,294.9270324707031,294.89129638671875,296.5579528808594,296.1053771972656,296.5292,295.40435791015625,294.95236,296.0884094238281,294.6079406738281,294.29974,296.0387268066406,294.79776,297.17987,296.0627746582031,297.0856,296.86032,297.90973,295.7817,296.62717,296.0793,297.3361814701357
2052-12-31,295.3640605769745,294.8850729746361,296.56143506193814,296.2847466455747,297.44965,295.49629315938034,297.14926,296.8762972897046,295.7101034086044,295.8418,296.03331583101453,296.08942,296.63672,295.60751259163635,296.53986,297.5606,296.70486,296.29422,295.6101,296.45734,296.8359905444812
2053-12-31,295.61895751953125,297.1749267578125,295.8644104003906,295.60406494140625,297.77148,296.3341064453125,297.59485,297.3145446777344,294.59893798828125,294.66547,296.3800354003906,295.3308,297.11816,297.0146484375,295.8397,296.6878,296.48782,296.19968,296.36456,294.43854,297.7271186359768
2054-12-31,295.2517395019531,295.8099670410156,295.5362243652344,295.198486328125,296.99316,296.28759765625,296.27548,295.9568176269531,295.89886474609375,295.1309,295.1531066894531,295.47174,297.20212,297.1166076660156,296.05798,296.099,295.2476,295.39285,295.4776,295.1385,297.34618918988957
2055-12-31,294.6683044433594,295.8759765625,295.58013916015625,296.6803283691406,296.67398,296.259765625,295.89554,296.2509460449219,295.6003112792969,293.97775,296.1209716796875,294.45764,296.77164,296.6865539550781,297.09177,295.5697,297.0283,296.9335,297.01675,295.81003,297.2771367760344
2056-12-31,296.19049080626604,296.1331410029163,296.0466512601669,295.90000158858624,297.78702,296.2301578051423,295.18884,296.4183867990154,295.96413106003854,295.49042,295.4029514260488,294.6933,296.59628,296.7958167507224,296.2832,295.59286,297.01675,296.13718,296.61053,296.64148,297.0955797795798
