center,variable,base,ssp,percentile,months,access-cm2,access-esm1-5,bcc-csm2-mr,cesm2,cesm2-waccm,cmcc-cm2-sr5,cmcc-esm2,cnrm-cm6-1,cnrm-esm2-1,ec-earth3,fgoals-g3,gfdl-cm4,gfdl-cm4_gr2,gfdl-esm4,giss-e2-1-g,iitm-esm,inm-cm4-8,inm-cm5-0,ipsl-cm6a-lr,kace-1-0-g,miroc-es2l,miroc6,mpi-esm1-2-hr,mpi-esm1-2-lr,mri-esm2-0,noresm2-lm,noresm2-mm,taiesm1
GISS,rzsm,"[1981, 2020]",ssp245,0.3,,0.243378,0.243391,,0.24369269999999998,0.2435327,0.2439167,0.2437617,0.243674,0.24377,0.243532,0.24382669999999998,0.243537,0.243576,0.243677,0.243266,0.243428,0.243929,0.2440137,,0.242654,0.2437527,,0.24374569999999998,0.2436737,0.2438381,0.243947,0.24351,0.2435617
GISS,rzsm,"[1981, 2020]",ssp245,0.7,,0.24569359999999998,0.246149,,0.246324,0.2460549,0.2465573,0.246363,0.2460743,0.2468149,0.24649,0.246356,0.246103,0.246146,0.246199,0.24591659999999999,0.2461603,0.246201,0.246186,,0.245129,0.246202,,0.246919,0.2463143,0.2465213,0.2462833,0.246573,0.2465893
GISS,rzsm,"[1981, 2020]",ssp245,0.8,,0.2463942,0.24687,,0.2472522,0.246841,0.24739,0.24721259999999998,0.2468712,0.2477742,0.2474512,0.2471872,0.246912,0.246939,0.2470936,0.246748,0.2469782,0.246926,0.246922,,0.245981,0.246946,,0.247835,0.2471024,0.247341,0.2470872,0.247542,0.247492
GISS,rzsm,"[1981, 2020]",ssp245,0.9,,0.247419,0.247953,,0.248443,0.24784710000000001,0.2486342,0.248539,0.2481301,0.2491261,0.2488562,0.2483071,0.2481704,0.2482681,0.248255,0.248027,0.2480502,0.2481111,0.248237,,0.247219,0.2481101,,0.2492752,0.2483082,0.2485231,0.248199,0.2490381,0.2486731
GISS,rzsm,"[1981, 2020]",ssp245,0.95,,0.248258,0.24879354999999997,,0.2493911,0.2487311,0.24984255,0.24980755,0.24917355,0.25026054999999997,0.24999765,0.2491441,0.24932854999999998,0.2493922,0.24929954999999998,0.24895955,0.249097,0.24928955,0.2491562,,0.2481172,0.24901455,,0.25056154999999997,0.2493081,0.2494111,0.24910354999999998,0.2502622,0.24967910000000001
GISS,rzsm,"[1981, 2020]",ssp245,0.98,,0.24941664,0.25002164000000004,,0.25053082,0.24987763999999998,0.25196273999999996,0.2516101,0.25037046,0.25188628,0.25135264,0.25002981999999996,0.2508751,0.25098156,0.25069964,0.24997682000000002,0.25062248,0.25056182,0.25016910000000003,,0.24920322,0.25008748,,0.25227174,0.25053981999999997,0.25060656,0.25022046000000003,0.25161110000000003,0.25101138
GRC,rzsm,"[1950, 2014]",ssp245,0.02,,0.2691248,0.269004,,0.2683116,0.268601,0.2690928,0.268351,0.26851339999999996,0.2679806,0.268465,0.2686806,0.2688772,0.2689696,0.2688542,0.26865259999999996,0.2684188,0.2685766,0.2682608,,0.270505,0.2686056,,0.2689188,0.2685108,0.2689116,0.268563,0.2687096,0.2693316
GRC,rzsm,"[1950, 2014]",ssp245,0.05,,0.269695,0.269721,,0.269324,0.269413,0.269875,0.269336,0.26921,0.26888,0.269207,0.269672,0.269495,0.269638,0.26955,0.269461,0.269368,0.26936,0.269333,,0.271488,0.269361,,0.269598,0.269335,0.269678,0.269501,0.269632,0.269913
GRC,rzsm,"[1950, 2014]",ssp245,0.1,,0.270253,0.270307,,0.270103,0.270078,0.270388,0.270041,0.26993,0.269767,0.269879,0.27034,0.270068,0.270213,0.270211,0.270115,0.270114,0.270029,0.270131,,0.272246,0.27014,,0.270206,0.270126,0.270279,0.270142,0.270266,0.270434
GRC,rzsm,"[1950, 2014]",ssp245,0.2,,0.270954,0.270955,,0.270966,0.270857,0.271036,0.270905,0.27083,0.270713,0.270713,0.271043,0.270816,0.270939,0.270937,0.270939,0.270826,0.270802,0.271001,,0.273088,0.271072,,0.270957,0.27106,0.270972,0.27094,0.271019,0.271039
